ms_subclass,ms_zoning,lot_frontage,lot_area,lot_shape,land_contour,lot_config,neighborhood,condition_1,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating_qc,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,location,house,garage,basement,age_at_sale,remod_age_at_sale,log_saleprice,log_gr_liv_area,log_lot_area,log_1st_flr_sf
1,1,50.0,9000,1,Lvl,1,1,2,1,1,5,6,1951,1951,Gable,1,Wd Shng,None,0.0,2,2,CBlock,3.0,3.0,2,1,0.0,Unf,0.0,660.0,660.0,3,1060,336,0,1396,0.0,0.0,2,0,4,2,3,8,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,10,2006,WD ,115000,5,4,0.0,9.0,55,55,11.652687407345388,7.241366283322318,9.104979856318357,6.966024187106113
1,2,80.0,13014,1,Lvl,1,1,2,2,1,6,5,1978,1978,Gable,1,Plywood,BrkFace,39.0,3,3,CBlock,3.0,3.0,2,1,528.0,Unf,0.0,480.0,1008.0,3,1096,0,0,1096,1.0,0.0,1,0,3,1,3,6,1,2.0,2,1978.0,1,2.0,484.0,3.0,168,0,0,0,0,0,0,0,12,2008,WD ,157500,6,5,6.0,9.0,30,30,11.967180737247824,6.999422467507961,9.47378098005493,6.999422467507961
2,2,0.0,15896,2,Lvl,2,2,2,2,2,7,5,1999,1999,Gable,2,VinylSd,BrkFace,210.0,4,3,PConc,4.0,3.0,1,1,913.0,Unf,0.0,264.0,1177.0,5,1223,1089,0,2312,1.0,0.0,2,1,4,1,4,8,1,3.0,2,1999.0,2,3.0,658.0,3.0,298,0,0,0,0,0,0,0,5,2009,WD ,245000,8,8,12.0,9.0,10,10,12.409013489526863,7.7458682297922685,9.673822784231653,7.109062135687172
2,2,41.0,5395,2,HLS,1,3,2,2,1,8,5,1993,1993,Gable,1,HdBoard,None,0.0,4,3,PConc,4.0,3.0,1,2,733.0,Unf,0.0,604.0,1337.0,4,1337,0,0,1337,1.0,0.0,2,0,2,1,4,5,1,3.0,2,1993.0,2,2.0,462.0,3.0,96,0,70,168,0,0,0,0,10,2008,WD ,180000,8,6,12.0,10.0,15,15,12.100712129872347,7.198183577101943,8.593227877692234,7.198183577101943
1,2,0.0,5105,2,Lvl,1,2,2,2,2,7,5,2004,2004,Gable,1,MetalSd,None,0.0,4,3,PConc,4.0,3.0,1,2,239.0,Unf,0.0,312.0,551.0,5,551,551,0,1102,0.0,0.0,2,1,2,1,4,4,0,0.0,1,2004.0,1,2.0,480.0,3.0,0,60,0,0,0,0,0,0,3,2007,WD ,148800,7,6,3.0,10.0,3,3,11.910358401381128,7.004881989712859,8.537975730598767,6.311734809152915
2,2,75.0,9473,1,Lvl,1,2,2,2,2,8,5,2002,2002,Gable,2,VinylSd,0,0.0,4,3,PConc,4.0,3.0,1,2,804.0,Unf,0.0,324.0,1128.0,5,1128,903,0,2031,1.0,0.0,2,1,3,1,4,7,1,4.0,2,2002.0,2,2.0,577.0,3.0,0,211,0,0,0,0,0,0,3,2008,WD ,237000,7,8,12.0,10.0,6,6,12.375815420117268,7.616283561580385,9.156200925875535,7.028201432058005
1,2,60.0,8400,1,Bnk,1,1,2,2,1,2,5,1920,1950,Gable,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,2.0,1,1,290.0,Unf,0.0,0.0,290.0,3,438,0,0,438,0.0,0.0,1,0,1,1,2,3,0,0.0,1,1930.0,1,1.0,246.0,3.0,0,0,0,0,0,0,0,0,1,2009,WD ,60000,6,5,3.0,7.0,89,59,11.002099841204238,6.082218910376446,9.035986984831405,6.082218910376446
1,2,64.0,12102,1,Lvl,1,1,2,2,1,5,5,1976,1976,Gable,1,Plywood,BrkFace,222.0,3,3,CBlock,4.0,4.0,2,1,456.0,Unf,0.0,0.0,456.0,5,1033,0,0,1033,0.0,1.0,1,0,3,1,3,6,0,0.0,2,1976.0,2,2.0,504.0,2.0,224,0,0,0,0,0,0,0,4,2008,WD ,165000,6,5,8.0,11.0,32,32,12.013700752882718,6.940222469119639,9.401126007182267,6.940222469119639
2,2,41.0,10905,2,Lvl,2,2,2,2,2,7,5,2003,2003,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,1129.0,1129.0,5,1129,1198,0,2327,0.0,0.0,2,1,4,1,4,9,1,4.0,2,2003.0,2,2.0,596.0,3.0,0,57,0,0,0,0,0,0,8,2008,WD ,240000,8,8,12.0,9.0,5,5,12.388394202324129,7.752335163302292,9.29697667863573,7.029087564149662
2,2,0.0,9556,2,Lvl,2,2,2,2,1,7,5,1992,1993,Gable,1,HdBoard,BrkFace,52.0,3,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,1168.0,1168.0,4,1187,0,0,1187,0.0,0.0,2,0,3,1,4,6,0,0.0,2,1992.0,2,2.0,420.0,3.0,0,21,0,0,0,0,0,0,8,2007,WD ,160000,8,6,12.0,9.0,15,14,11.982929094215963,7.079184394609668,9.1649245084457,7.079184394609668
1,1,58.0,6430,1,Bnk,2,1,1,1,1,6,6,1945,1950,Gable,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,2,1,780.0,Unf,0.0,0.0,780.0,3,816,524,0,1340,1.0,0.0,1,0,3,1,3,6,0,0.0,2,1945.0,1,1.0,440.0,3.0,0,0,0,0,0,0,0,0,7,2006,WD ,128000,5,4,6.0,9.0,61,56,11.759785542901755,7.200424892944957,8.768729817231666,6.704414354964107
1,2,65.0,6040,1,Lvl,1,1,2,1,1,4,5,1955,1955,Gable,1,Plywood,None,0.0,3,3,PConc,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,3,1152,0,0,1152,0.0,0.0,2,0,2,2,2,6,0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6,2008,WD ,82000,6,4,0.0,0.0,53,53,11.314474526246391,7.049254841255837,8.706159290928861,7.049254841255837
2,2,80.0,14695,2,Lvl,1,1,2,2,1,6,8,1966,2008,Gable,1,MetalSd,BrkFace,210.0,3,4,CBlock,3.0,3.0,1,1,1387.0,Unf,0.0,175.0,1562.0,4,1567,0,0,1567,1.0,0.0,2,0,2,1,4,5,2,4.0,2,1966.0,1,2.0,542.0,3.0,0,110,0,0,342,0,GdWo,0,7,2009,WD ,256000,6,6,6.0,8.0,43,1,12.4529327234617,7.356918242356021,9.595262578853017,7.356918242356021
1,1,50.0,9000,1,Lvl,1,1,1,2,2,7,9,1920,1988,Hip,2,VinylSd,None,0.0,3,4,PConc,3.0,3.0,1,1,624.0,Unf,0.0,26.0,650.0,5,832,650,0,1482,0.0,1.0,1,0,3,1,3,7,0,0.0,1,1930.0,1,2.0,324.0,3.0,0,0,0,0,0,0,0,0,7,2009,WD ,143000,4,7,3.0,8.0,89,21,11.870599909242044,7.301147805856032,9.104979856318357,6.723832440821209
2,2,67.0,8368,2,HLS,1,2,2,2,1,7,5,2006,2007,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,1689.0,1689.0,5,1689,0,0,1689,0.0,0.0,2,0,3,1,4,7,0,0.0,2,2007.0,2,2.0,433.0,3.0,100,39,0,0,0,0,0,0,4,2007,New,231713,7,7,12.0,9.0,1,0,12.353254815881487,7.4318919168078,9.032170186304704,7.4318919168078
1,2,195.0,41600,2,Lvl,1,2,2,1,1,5,5,1969,1990,Gable,1,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,2,1,1047.0,Unf,0.0,53.0,1100.0,3,1424,0,0,1424,1.0,0.0,1,1,3,1,3,7,0,0.0,1,1969.0,1,3.0,828.0,3.0,144,0,0,0,0,0,0,0,11,2007,WD ,155000,7,4,3.0,10.0,38,17,11.951180395901384,7.261225091971921,10.635855446249355,7.261225091971921
2,2,59.0,6490,1,Lvl,1,2,2,2,1,5,7,1983,1983,Gable,2,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,1,2,534.0,Unf,0.0,282.0,816.0,5,816,0,0,816,0.0,1.0,1,0,2,1,3,4,0,0.0,2,1983.0,1,1.0,264.0,3.0,315,0,0,0,0,0,GdWo,0,4,2008,WD ,128500,7,7,6.0,9.0,25,25,11.763684183317412,6.704414354964107,8.778017809698136,6.704414354964107
1,2,60.0,7290,1,Lvl,2,1,2,2,1,7,8,1921,1950,Gable,1,Wd Shng,BrkFace,174.0,3,3,BrkTil,3.0,3.0,1,1,0.0,Unf,0.0,1228.0,1228.0,5,1424,0,0,1424,0.0,0.0,2,0,2,1,3,7,1,4.0,2,1921.0,1,1.0,312.0,3.0,0,0,90,0,0,0,0,0,4,2008,WD ,168000,7,5,6.0,8.0,87,58,12.031719258385396,7.261225091971921,8.894258825002703,7.261225091971921
2,2,0.0,7472,2,Lvl,2,1,2,2,2,7,9,1972,2004,Gable,1,HdBoard,BrkFace,138.0,3,3,CBlock,3.0,3.0,1,1,626.0,Unf,0.0,99.0,725.0,4,725,754,0,1479,1.0,0.0,1,1,4,1,4,7,0,0.0,2,1972.0,2,2.0,484.0,3.0,0,32,0,0,0,0,0,0,6,2007,WD ,184000,7,7,12.0,8.0,35,3,12.122691036591123,7.2991214627108,8.918917979908679,6.586171654854675
1,2,70.0,7000,1,Lvl,1,1,1,1,1,5,5,1962,1962,Gable,1,MetalSd,None,0.0,3,3,CBlock,3.0,3.0,2,1,953.0,Unf,0.0,72.0,1025.0,3,1025,0,0,1025,1.0,0.0,1,0,3,1,3,6,0,0.0,0,0.0,0,0.0,0.0,0.0,96,80,0,0,0,0,0,0,3,2006,WD ,124000,5,4,0.0,9.0,44,44,11.728036844587175,6.932447891572509,8.85366542803745,6.932447891572509
2,2,0.0,11717,2,Lvl,1,2,2,2,1,6,6,1970,1970,Hip,1,HdBoard,BrkFace,571.0,3,3,CBlock,3.0,3.0,1,1,0.0,Unf,0.0,1442.0,1442.0,3,1442,0,0,1442,0.0,0.0,2,0,2,1,3,6,1,3.0,2,1970.0,2,2.0,615.0,3.0,371,0,0,0,0,0,0,0,2,2009,WD ,185000,7,6,12.0,8.0,39,39,12.128111104060462,7.273786317844895,9.368796057668156,7.273786317844895
2,2,106.0,11194,2,Lvl,2,2,2,2,2,8,5,2000,2000,Gable,2,VinylSd,BrkFace,40.0,4,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,1406.0,1406.0,5,1454,482,0,1936,0.0,0.0,2,1,3,1,4,7,1,3.0,2,2000.0,2,2.0,504.0,3.0,188,124,0,0,0,0,0,0,11,2006,WD ,230500,8,8,12.0,9.0,6,6,12.348006141418841,7.568379267836522,9.323133199451306,7.282073658093465
2,2,90.0,11250,2,Lvl,2,2,2,2,2,7,5,1998,1998,Gable,2,VinylSd,BrkFace,227.0,3,3,PConc,4.0,3.0,2,1,796.0,Unf,0.0,258.0,1054.0,5,1070,869,0,1939,0.0,1.0,2,1,3,1,4,8,1,3.0,2,1998.0,2,3.0,555.0,3.0,128,84,0,0,0,0,0,0,5,2006,WD ,227000,8,8,12.0,10.0,8,8,12.332705296463539,7.569927655242652,9.328123407632566,6.975413927455952
2,2,64.0,8633,1,Lvl,1,2,2,2,2,6,5,2005,2005,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1,2,193.0,Unf,0.0,545.0,738.0,5,738,738,0,1476,1.0,0.0,2,1,3,1,4,7,0,0.0,2,2005.0,2,2.0,540.0,3.0,100,35,0,0,0,0,0,0,2,2009,WD ,173500,7,8,12.0,10.0,4,4,12.063932878369052,7.297091005160418,9.063347348235522,6.6039438246004725
1,2,70.0,8400,1,Lvl,1,1,1,2,1,5,6,1968,1968,Gable,1,HdBoard,None,0.0,3,3,CBlock,4.0,3.0,2,2,744.0,Unf,0.0,89.0,833.0,4,898,0,0,898,1.0,0.0,1,0,3,1,3,6,0,0.0,2,1968.0,2,1.0,326.0,3.0,143,0,0,0,0,0,0,0,8,2006,WD ,140000,5,5,12.0,11.0,38,38,11.84939770159144,6.8001700683022,9.035986984831405,6.8001700683022
2,2,87.0,10037,1,Lvl,2,2,1,2,1,8,5,2006,2007,Hip,2,VinylSd,0,0.0,4,3,PConc,5.0,3.0,1,2,666.0,Unf,0.0,794.0,1460.0,5,1460,0,0,1460,0.0,0.0,2,0,3,1,4,6,1,4.0,2,2006.0,2,2.0,480.0,3.0,0,20,0,0,0,0,0,0,8,2008,WD ,247000,7,7,12.0,11.0,2,1,12.417143615610113,7.286191714702382,9.2140335438138,7.286191714702382
1,2,0.0,8014,2,Lvl,2,1,2,2,1,6,5,1978,1978,Gable,1,HdBoard,BrkFace,23.0,3,3,CBlock,4.0,3.0,2,2,456.0,Unf,0.0,0.0,456.0,3,1034,0,0,1034,0.0,1.0,1,0,3,1,3,5,1,2.0,1,1978.0,2,2.0,504.0,3.0,0,0,0,0,0,0,0,0,6,2009,WD ,149900,7,5,6.0,11.0,31,31,11.917723684090689,6.9411900550683745,8.98894529119609,6.9411900550683745
2,2,0.0,12250,2,Lvl,1,2,2,2,1,5,6,1978,1978,Gable,1,HdBoard,BrkFace,180.0,3,3,CBlock,4.0,3.0,2,1,781.0,Unf,0.0,83.0,864.0,5,1174,0,0,1174,1.0,0.0,1,0,3,1,3,5,0,0.0,2,1978.0,1,2.0,528.0,3.0,211,0,280,0,0,0,0,0,5,2008,WD ,158000,7,6,6.0,10.0,30,30,11.970350312009105,7.068172000388042,9.413281215972873,7.068172000388042
1,2,0.0,2403,2,Lvl,1,2,2,2,2,7,5,2003,2003,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,1,2,244.0,Unf,0.0,286.0,530.0,5,530,550,0,1080,0.0,0.0,2,1,2,1,4,4,0,0.0,2,2003.0,2,2.0,496.0,3.0,0,50,0,0,0,0,0,0,6,2010,WD ,147110,7,7,12.0,10.0,7,7,11.898935885244258,6.984716320118266,7.784473235736469,6.272877006546167
1,1,50.0,8600,1,Bnk,1,1,2,2,1,6,6,1937,1950,Gable,1,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1,1,0.0,Unf,0.0,780.0,780.0,3,780,596,0,1376,0.0,0.0,2,0,3,1,3,7,1,4.0,1,1937.0,1,1.0,198.0,3.0,0,0,0,0,0,0,0,0,6,2006,WD ,119500,5,5,3.0,8.0,69,56,11.691071650353702,7.226936018493289,9.0595174822416,6.659293919683638
1,2,60.0,13680,1,HLS,1,2,2,2,1,5,6,1940,1950,Gable,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1,1,728.0,Unf,0.0,112.0,840.0,5,840,727,0,1567,1.0,0.0,1,1,2,1,3,6,2,3.0,1,1961.0,1,2.0,440.0,3.0,0,21,150,0,0,0,GdPrv,0,2,2009,WD ,205000,7,5,3.0,8.0,69,59,12.230765258120545,7.356918242356021,9.523690191176541,6.733401891837359
1,2,60.0,10800,1,Lvl,1,1,2,2,2,5,9,1895,1999,Gable,1,HdBoard,None,0.0,3,4,CBlock,4.0,3.0,2,1,0.0,Unf,0.0,736.0,736.0,5,751,783,0,1534,0.0,0.0,1,1,3,1,4,6,0,0.0,0,0.0,0,0.0,0.0,0.0,0,112,0,0,0,0,0,0,7,2007,WD ,148000,6,6,0.0,10.0,112,8,11.904967552746252,7.335633981927201,9.287301413112312,6.621405651764134
2,2,39.0,5389,2,Lvl,1,3,2,2,1,8,5,1995,1996,Gable,2,CmentBd,None,0.0,4,3,PConc,4.0,3.0,1,2,1180.0,Unf,0.0,415.0,1595.0,5,1616,0,0,1616,1.0,0.0,2,0,2,1,4,5,1,3.0,2,1995.0,2,2.0,608.0,3.0,237,152,0,0,0,0,0,0,3,2010,WD ,236500,8,7,12.0,10.0,15,14,12.373703486914124,7.38770923908104,8.592115117933497,7.38770923908104
1,2,60.0,10890,1,Lvl,1,1,2,2,1,5,5,1938,1950,Gable,1,MetalSd,None,0.0,3,3,BrkTil,2.0,3.0,1,1,930.0,Unf,0.0,128.0,1058.0,3,1058,493,0,1551,1.0,0.0,2,0,3,1,2,6,0,0.0,1,1938.0,1,1.0,240.0,2.0,0,0,0,0,0,0,MnPrv,0,7,2006,WD ,137000,6,5,2.0,7.0,68,56,11.827736204810263,7.346655163176539,9.295600215927006,6.964135612418245
2,2,68.0,9768,1,Lvl,1,1,2,2,1,5,5,1955,1955,Gable,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1,1,100.0,ALQ,247.0,613.0,960.0,4,960,0,0,960,1.0,0.0,1,0,2,1,3,5,0,0.0,2,1955.0,2,1.0,330.0,3.0,0,70,0,0,0,0,MnPrv,0,2,2009,WD ,122000,6,6,12.0,8.0,54,54,11.711776323715394,6.866933284461882,9.18686701579054,6.866933284461882
2,2,73.0,8993,2,Lvl,1,2,2,2,1,7,5,2007,2007,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2,1,0.0,Unf,0.0,1302.0,1302.0,5,1302,0,0,1302,0.0,0.0,2,0,3,1,4,6,0,0.0,2,2007.0,2,2.0,436.0,3.0,0,22,0,0,0,0,0,0,8,2007,New,176485,7,7,12.0,10.0,0,0,12.080991165908294,7.171656822768514,9.104201775914515,7.171656822768514
1,2,50.0,11672,2,Lvl,1,1,2,2,1,5,5,1925,1950,Gable,1,MetalSd,None,0.0,3,3,BrkTil,3.0,3.0,1,1,0.0,Unf,0.0,816.0,816.0,3,816,0,0,816,0.0,0.0,1,0,2,1,3,4,0,0.0,1,1925.0,1,1.0,210.0,2.0,168,0,112,0,0,0,0,0,7,2006,WD ,109000,6,5,2.0,8.0,81,56,11.59910316121128,6.704414354964107,9.364948090202622,6.704414354964107
2,1,0.0,9763,2,Lvl,1,3,2,2,1,7,5,1998,1998,Gable,1,Wd Sdng,BrkFace,239.0,4,3,PConc,4.0,3.0,1,2,1102.0,ALQ,72.0,328.0,1502.0,5,1502,0,0,1502,1.0,0.0,1,1,1,1,4,5,1,3.0,2,1998.0,2,1.0,286.0,3.0,0,0,0,0,0,0,0,0,9,2007,WD ,330000,7,6,12.0,10.0,9,9,12.706847933442663,7.31455283232408,9.186355009225672,7.31455283232408
2,1,56.0,9836,1,Bnk,1,1,1,2,1,6,5,2008,2008,Gable,2,VinylSd,None,0.0,3,3,PConc,3.0,3.0,1,2,96.0,Unf,0.0,96.0,192.0,4,1133,0,0,1133,1.0,0.0,1,0,3,1,3,7,0,0.0,1,2008.0,1,1.0,308.0,3.0,0,175,0,0,0,0,0,0,12,2008,WD ,143000,4,7,3.0,9.0,0,0,11.870599909242044,7.0326242610280065,9.193804403336083,7.0326242610280065
2,2,89.0,10557,2,Lvl,1,3,2,2,2,9,5,1998,1998,Gable,1,MetalSd,BrkFace,422.0,4,3,PConc,5.0,3.0,2,2,672.0,Unf,0.0,736.0,1408.0,5,1671,1407,0,3078,1.0,0.0,2,1,4,1,4,9,1,3.0,2,1998.0,2,3.0,806.0,3.0,108,87,0,0,0,0,0,0,7,2007,WD ,410000,8,7,12.0,12.0,9,9,12.92391243868049,8.032035314398824,9.264544425989694,7.421177528595393
2,2,70.0,8462,2,Lvl,1,2,2,2,2,6,5,1994,1994,Gable,1,HdBoard,BrkFace,105.0,4,4,PConc,4.0,4.0,1,2,814.0,Unf,0.0,114.0,928.0,5,936,785,0,1721,0.0,1.0,2,1,3,1,4,7,0,0.0,2,1994.0,2,2.0,471.0,3.0,300,87,0,0,0,0,0,0,7,2007,WD ,201000,7,7,12.0,11.0,13,13,12.211060187041213,7.450660796211539,9.043340831280013,6.841615476477592
1,2,60.0,10818,1,Lvl,1,1,2,2,1,4,4,1910,1950,Gable,2,VinylSd,None,0.0,3,3,BrkTil,2.0,3.0,1,1,0.0,Unf,0.0,1077.0,1077.0,3,981,779,0,1760,0.0,0.0,1,1,4,1,3,7,1,3.0,1,1935.0,1,2.0,648.0,2.0,120,0,96,0,0,0,0,0,2,2006,COD,80000,6,6,2.0,7.0,96,56,11.289781913656018,7.473069088032197,9.288966692431373,6.8885724595653635
1,2,61.0,7259,2,Lvl,1,2,2,2,2,6,8,1945,2002,Gambrel,1,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,1,1,774.0,LwQ,150.0,104.0,1028.0,5,1436,884,0,2320,1.0,0.0,2,1,3,1,4,9,1,3.0,1,1945.0,1,1.0,180.0,3.0,224,0,0,0,0,0,MnPrv,0,7,2007,WD ,259500,7,6,3.0,8.0,62,5,12.46651198158808,7.749322464660356,8.889997357284841,7.269616749608169
2,2,0.0,11800,2,Lvl,1,2,2,2,2,7,5,2003,2004,Gable,2,VinylSd,BrkFace,94.0,4,3,PConc,4.0,3.0,2,2,766.0,Unf,0.0,356.0,1122.0,5,1146,1340,0,2486,1.0,0.0,3,1,5,1,4,10,1,4.0,2,2003.0,2,2.0,452.0,3.0,143,32,0,0,0,0,0,0,7,2007,WD ,279900,7,8,12.0,11.0,4,3,12.542187675503545,7.818430272070656,9.375854810453756,7.044032897274685
2,2,75.0,7500,1,Lvl,1,1,2,2,1,5,7,1959,1994,Hip,2,BrkFace,None,0.0,3,3,CBlock,3.0,3.0,1,1,340.0,Rec,906.0,0.0,1246.0,5,1246,0,0,1246,1.0,0.0,1,1,3,1,4,6,0,0.0,2,1959.0,2,1.0,305.0,3.0,218,0,0,0,0,0,GdPrv,0,5,2010,WD ,154000,6,7,12.0,8.0,51,16,11.944707881395766,7.1276936993473985,8.922658299524402,7.1276936993473985
1,2,0.0,159000,2,Low,2,2,2,2,1,6,7,1958,2006,Gable,1,HdBoard,BrkCmn,472.0,4,3,CBlock,4.0,3.0,2,1,697.0,Unf,0.0,747.0,1444.0,4,1444,700,0,2144,0.0,1.0,2,0,4,1,4,7,2,3.0,2,1958.0,2,2.0,389.0,3.0,0,98,0,0,0,0,0,500,6,2007,WD ,277000,8,5,12.0,10.0,49,1,12.531772785169476,7.670428522190693,11.976659481202368,7.275172319452771
1,2,62.0,6488,1,Lvl,1,1,2,2,1,5,5,1942,1950,Gable,2,Wd Sdng,None,0.0,3,3,BrkTil,3.0,3.0,1,1,230.0,Unf,0.0,569.0,799.0,5,799,351,0,1150,0.0,0.0,1,0,3,1,3,6,2,3.0,2,1942.0,1,1.0,215.0,3.0,264,0,0,0,0,0,0,0,3,2006,WD ,128000,6,6,6.0,8.0,64,56,11.759785542901755,7.047517221357296,8.77770959579525,6.683360945766275
2,2,110.0,14230,1,Lvl,2,3,2,2,1,8,5,2007,2007,Gable,2,VinylSd,Stone,640.0,4,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,1566.0,1566.0,5,1600,0,0,1600,0.0,0.0,2,0,3,1,4,7,1,4.0,2,2007.0,2,3.0,890.0,3.0,0,56,0,0,0,0,0,0,7,2009,WD ,256300,9,7,12.0,9.0,2,2,12.454103912352162,7.3777589082278725,9.563107691083898,7.3777589082278725
1,2,110.0,7810,2,HLS,1,2,2,2,1,4,6,1930,2003,Gable,1,CmentBd,None,0.0,3,4,BrkTil,3.0,4.0,1,2,189.0,Unf,0.0,741.0,930.0,5,1230,525,0,1755,0.0,0.0,2,0,4,1,4,7,1,3.0,1,1930.0,1,1.0,231.0,2.0,0,40,0,0,0,0,0,0,11,2007,WD ,188000,7,5,2.0,10.0,77,4,12.144197241812087,7.470224135899966,8.963160242833732,7.114769448366463
2,2,85.0,14331,1,Lvl,1,2,2,2,1,8,5,2002,2002,Hip,2,VinylSd,BrkFace,630.0,4,3,PConc,5.0,3.0,2,2,1274.0,Unf,0.0,526.0,1800.0,5,1800,0,0,1800,1.0,0.0,2,0,3,1,4,7,1,4.0,2,2002.0,2,3.0,765.0,3.0,270,78,0,0,0,0,0,0,5,2006,WD ,312500,7,7,12.0,12.0,4,4,12.652359748158593,7.495541943884256,9.570180302058072,7.495541943884256
1,2,30.0,3182,1,Lvl,1,2,2,2,2,7,5,2004,2005,Gable,1,MetalSd,None,0.0,4,3,PConc,4.0,3.0,1,1,0.0,Unf,0.0,600.0,600.0,5,600,600,0,1200,0.0,0.0,2,1,2,1,4,4,0,0.0,1,2004.0,2,2.0,480.0,3.0,0,172,0,0,0,0,0,0,6,2010,WD ,151000,7,6,6.0,9.0,6,5,11.925035115797062,7.090076835776092,8.065265208897733,6.396929655216146
1,1,24.0,1920,1,Lvl,1,1,2,2,2,5,5,1971,1971,Gable,1,HdBoard,BrkFace,376.0,3,3,CBlock,3.0,3.0,1,1,471.0,Unf,0.0,294.0,765.0,5,765,600,0,1365,1.0,0.0,1,1,2,1,3,6,0,0.0,1,1971.0,1,2.0,440.0,3.0,240,36,0,0,0,0,0,0,8,2007,WD ,122500,5,6,3.0,8.0,36,36,11.715866308966918,7.21890970761906,7.560080465021827,6.639875833826536
2,2,68.0,10110,1,Lvl,1,2,2,2,2,6,5,2003,2003,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2,2,80.0,ALQ,555.0,200.0,835.0,5,835,861,0,1696,1.0,0.0,2,1,3,1,4,7,0,0.0,2,2003.0,2,2.0,542.0,3.0,143,66,0,0,0,0,0,0,7,2008,WD ,188000,7,8,12.0,11.0,5,5,12.144197241812087,7.4360278163518485,9.221280312014517,6.727431724850855
2,2,91.0,10984,2,Lvl,2,2,2,2,2,7,5,2005,2006,Gable,2,VinylSd,None,0.0,4,3,PConc,4.0,3.0,2,1,0.0,Unf,0.0,945.0,945.0,5,945,864,0,1809,0.0,0.0,2,1,3,1,4,8,0,0.0,2,2005.0,2,2.0,638.0,3.0,144,54,0,0,0,0,0,0,5,2006,New,209700,8,8,12.0,10.0,1,0,12.253433216890011,7.500529485395295,9.304194947447806,6.851184927493743
2,2,85.0,14082,2,HLS,1,3,2,2,1,8,5,2006,2006,Hip,2,VinylSd,BrkFace,945.0,4,3,PConc,5.0,4.0,2,2,1558.0,Unf,0.0,662.0,2220.0,5,2234,0,0,2234,1.0,0.0,1,1,1,1,4,7,1,4.0,2,2006.0,2,2.0,724.0,3.0,390,80,0,0,0,0,0,0,1,2007,WD ,441929,8,7,12.0,13.0,1,1,12.998904514672732,7.711548979629146,9.552652665079078,7.711548979629146
2,2,50.0,8480,2,Lvl,1,2,2,2,2,6,5,1993,1994,Gable,1,HdBoard,BrkFace,120.0,4,3,PConc,4.0,3.0,1,2,602.0,Unf,0.0,284.0,886.0,5,886,794,0,1680,0.0,1.0,2,1,3,1,4,7,0,0.0,2,1993.0,2,2.0,474.0,3.0,144,96,0,0,0,0,0,0,10,2008,WD ,163000,7,7,12.0,10.0,15,14,12.0015054797889,7.426549072397305,9.045465728785949,6.786716950605081
2,2,0.0,12205,2,Low,1,2,2,2,2,6,8,1966,2007,Gable,1,HdBoard,BrkFace,157.0,3,3,CBlock,3.0,2.0,2,1,568.0,Unf,0.0,264.0,832.0,4,976,1111,0,2087,0.0,0.0,2,1,5,1,4,9,0,0.0,2,1966.0,2,2.0,444.0,3.0,133,168,0,0,0,0,0,0,7,2007,WD ,187500,7,7,12.0,8.0,41,0,12.141534124392603,7.643482907077201,9.40960098282706,6.883462586413092
